Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Corner Taken,Date,Event,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Player,Pourcentage,Qualite,Score final,TIME PERIOD,Team,Type action,Zone,✅,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251015_Chelsea_Sunderland_ANALYST,0.0,27.00981859410431,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✅,,.
251015_Chelsea_Sunderland_ANALYST,0.0,13.809884824600132,🔹[OSP] Attacking Free Kick(3-men)✅✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,14.970088082796366,"🔸🔹Defensive Transition(post freekick, mid regain)✅",0,,,,,,,,,,,,,,,,,,,,,,,Fast Attack,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,33.584057157092175,"🔹[IP4] Attacking Phase(LTriangle, IB, counter-press)✅🔎",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,43.80329422799562,"🔸[OP2] High Press(easy triangle, back in the shape)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,21.69194412112458,🔸[OP4] Low Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,10.790067973240212,"🔹[I1a] GK Restart(HBlock, too long)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,28.509957942176868,"🔸[OP1b] GK Restart(8"", composure, 2nd phase ...)❌❌🏈",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,32.069852793367374,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✅,,.
251015_Chelsea_Sunderland_ANALYST,0.0,23.254314258054364,"🔹[IP4] Attacking Phase(LTRiangle, cross non adjusted)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,25.070193250237537,"🔹[I3b] Progression(RTRiangle, face the pressure)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.960140724206326,🔹[I2a] Low Build-up(LCB stays inside)✅🔎,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,26.600207134521156,"🔹[I3b] Progression(LTriangle, too tight)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,16.140098452380926,🔸[DSP] Defending Throw In(narrow first)❌,0,,,,,,,,,,,,,,,,,,,,,,"Left, Mid 1/3",,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,30.377327773600825,🔸[OP3a] High Block(trigger MFM?)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,Organisation & Triggers,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.940159385304185,"🔸[OP4] Low Block(LTriangle, cross management)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,32.721647677826695,"🔹[I1b] GK Restart(8"", spare-man)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,14.75483326319386,🔹[IP4] Attacking Phase(option RTriangle)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,15.230113089569159,🔸[OP2] High Press(efficient counter-press & MFM)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,10.790071006254038,🔹[OSP] Attacking Free Kick(direct over the cross bar)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.76012253588135,🔸[OP1a] GK Restart(foul)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,35.04814149194078,🔸[OP3a] High Block(game plan?)🚧⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.69365305149836,"🔸[OP3b] Mid Block(Cucu, tracking in-behind runner)⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,Diagonal Pass,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,21.860133197696314,"🔸[OP4] Low Block(wide areas management, L-R)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,Side Overloads,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,20.250128003632994,"🔸[DSP] Defending Corner(R, 2nd phase, block-stopper attitudes)❌❌",0,,,,In-swinger,,Pass,,First Half,,,,"Cross, Corner taken, Chipped",Reece James,,,,,Chelsea,,Center,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,19.46010423101518,🔸[DSP] Defending Corner(L)✅,0,,,,In-swinger,,Pass,,First Half,,,,"Chipped, Corner taken, Long ball, Cross",Pedro Lomba Neto,,,,,Chelsea,,Center,,Left,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,22.5,"🔹[I1a] GK Restart(OS, long, Front3, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,51.5478114298312,"🔸[OP3b] Mid Block(back in the shape, LTriangle regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,40.16521138139069,"🔹[I3b] Progression(midfield overload, RTRiangle workflow?)✅🔎",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,13.410081385682588,🔸🔹Defensive Transition(good balance)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter Press,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.470091149532095,"🔹🔸Offensive transition(drive, cross)✅",0,,,,,,,,,,,,,,,,,,,,,,,Counter Attack,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,27.0,🔸🔹Defensive Transition(back in the shape)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regain Zonal Defence,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.5,"🔹[I1a] GK Restart(OS, long, Front3)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,28.321695984399412,🔸[OP3a] High Block(sloppy MFM)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,22.65685459140559,"🔹[I1b] GK Restart(8"", long, Front3)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,34.900205764697375,🔸[OP2] High Press(sloppy MFM once again)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,22.02986810533912,"🔹[I1b] GK Restart(8"", long, IB)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,15.370135275573602,"🔸[OP4] Low Block(Cucu, tracking in-behind runner)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,Diagonal Pass,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.180106996893755,"🔹[I1b] GK Restart(8"", spare man, composure under pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,30.30794351546524,"🔹[I1a] GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,19.79010454855711,"🔹[OSP] Attacking Throw In(R, long)✅✅⚽️",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Right, Long, Att 1/3",,,.
251015_Chelsea_Sunderland_ANALYST,0.0,16.050117364315838,🔸[OP3b] Mid Block(winning duel in midfield)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.75008991399045,🔹🔸Offensive transition(cross)🚧,0,,,,,,,,,,,,,,,,,,,,,,,Fast Attack,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,21.810121010859802,"🔸[OP1b] GK Restart(8"", long ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,19.0,"🔹[OSP] Attacking Throw In(R, MZ)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Right, Mid 1/3",,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.590121329365047,🔹[I2a] Low Build-up(spare man)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.000121933811442,🔹[IP4] Attacking Phase(LTriangle)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,15.050088377267684,"🔹[OSP] Attacking Throw In(L, MZ, back pass)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Right, Left, Mid 1/3",,,.
251015_Chelsea_Sunderland_ANALYST,0.0,13.440086260144199,"🔹[I3b] Progression(composure under pressure, around)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.900137176813132,🔹[I3b] Progression(llack of composure under pressure → low turnover)❌⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,14.090093888548608,🔸🔹Defensive Transition(good balance)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,12.200060965463535,"🔹[I2a] Low Build-up(mid-range, IB the winger)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,22.093841197682423,🔸[OP3b] Mid Blockstriker & LCB dragged out → spaces opened → cross) ⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,27.83998262755108,"🔹[I1a] GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,22.31370440547471,"🔹[IP4] Attacking Phase(LTriangle, IB)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,20.510116446341044,"🔸[OP1a] GK Restart(OS, long)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.120113989512447,"🔹[OSP] Attacking Throw In(L, MZ)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Left, Mid 1/3",,,.
251015_Chelsea_Sunderland_ANALYST,0.0,19.980126811529317,🔹[IP3a] Progression(around)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.5,"🔹[OSP] Attacking Free Kick(2-men, cutback)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,44.4994041476109,🔸[OP3b] Mid Block(midfield regain)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.550121924805353,"🔸[OP4] Low Block(LW back, delays → cross allowed) ⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,20.210122551020504,"🔹[I1b] GK Restart(8”, play around → off-shoulder positioning) ❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,19.980106983875885,"🔸🔹Defensive Transition(low turnover, counter-attack)❌❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,26.3099868961051,"🔹[I1a] GK Restart(OS, long wide target, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,22.23998109835611,🔹[OSP] Attacking Free Kick(inaccurate delivery)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.47011552170352,🔸[OP4] Low Block(RTRiangle overprotection)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,12.370074385071348,"🔸[OP4] Low Block(LSide cross, runners management)🚧⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,Side Overloads,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.19008473523718,"🔸[DSP] Defending Corner(R, 2 phases)✅",0,,,,In-swinger,,Pass,,First Half,,,,"Chipped, Cross, Corner taken",Reece James,,,,,Chelsea,,Center,,"Left, Right",,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,25.5,"🔹[I1a] GK Restart(OS, around, mid-range)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Short, Around",,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,16.080091744976016,"🔸[OP4] Low (R-Triangle → cross management, sink too deep) 🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,Side Overloads,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,26.930152696084406,"🔸[DSP] Defending Corner(R, flick-on front post, easy volley far post)❌❌",0,,,,In-swinger,,Pass,,First Half,,,,"Cross, Corner taken, Chipped",Reece James,,,,,Chelsea,,Center,,Right,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,20.0,🔹🔸Offensive transition(go forward or keep the ball?)🚧,0,,,,,,,,,,,,,,,,,,,,,,,"Fast Attack, Fast Attack, Fast Attack",,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,24.499980202664574,"🔹[I1a] GK Restart(HBlock, 2 phases)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,32.39646142089623,"🔸[OP4] Low Block(RTriangle, midfield regain)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,16.57008351679042,"🔹🔸Offensive transition(good move, shot)✅",0,,,,,,,,,,,,,,,,,,,,,,,Counter Attack,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,13.6500868653211,🔹🔸Offensive transition(lack of composure under pressure)❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,14.160093588604923,🔸[OP4] Low Block(compact shape → shot from distance)🚧⚠️,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,18.860125581233206,"🔸[DSP] Defending Corner(L, GK error, 2nd phase)🚧",0,,,,In-swinger,,Pass,,First Half,,,,"Long ball, Chipped, Cross, Corner taken",Pedro Lomba Neto,,,,,Chelsea,,Center,,Left,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,23.554537892162898,🔸[DSP] Defending Free Kick(L)✅,0,,,,,,Pass,,First Half,,,,"Free kick taken, Direct",Reece James,,,,,Chelsea,,Left,,"Right, Right",,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,17.5,🔹🔸Offensive transition(cheap turnover)❌,0,,Chelsea,Contexte,,20251025,,MT 0,,Journée 9,Domicile,107,,,120%,+,2/1,100 - 110,,CPA DEF,,,,,,,,,,,,,.
251015_Chelsea_Sunderland_ANALYST,0.0,20.770164288548585,"🔸[OP4] Low Block(LTriangle, cross management)⚠️",0,,Chelsea,Contexte,,20251025,,MT 0,,Journée 9,Domicile,107,,,120%,+,2/1,100 - 110,,DPlacee,,,,,,,,,,,,,.
