Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,❌❌,🔸🔹[OT] Keep the ball,Ungrouped,Notes,Flags
260207_Arsenal_Sunderland_ANALYST,0.0,24.73617371034925,"🔸[OP4]Low Block(LTriangle rushed in duels, box unit disconnected)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,26.38014813498222,"🔹[IP1a]GK Restart(HBlock, short delivery, 2nd ball, foul)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,12.321977353561891,"🔹[IP1a]GK Restart(HBlock, delivery too long)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,60.028184033493744,"🔸[OP1b]GK Restart(OS, short, switches, intensity in duels)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,25.583047589775163,"🔸[DSP] Throw-in(L, DZ, switched-off)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.080102414966007,"🔸🔹Offensive transition(9 IB, duel lost, good intention)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,32.00020413837501,"🔸[OP4]Low Block(RSide, could be more aggressive on LW, box unit OK)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,29.41916672494102,"🔹[IP1a]GK Restart(OS, short to the RCB, long)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.120112451965042,"🔸[OP3b]Mid Block(RSide triggers, midfield regain)✅",0,,,,,,,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.650096019403293,"🔹[IP3b]Progression(positional play ok, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,32.36945530348254,"🔸[OP2]High Press(MFM issues, on the edge IB)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,32.31968533833424,"🔸[DSP] Free kick(wide, 2nd ball)✅✅",0,,,,,,,,,,,,,,,,,✅✅,,.
260207_Arsenal_Sunderland_ANALYST,0.0,9.260049375095491,"🔹[IP1a]GK Restart(HBlock, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.44013197922959,"🔸[OP1b]GK Restart(OS, short, MFM, switches)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,40.52276595310104,"🔸[OP1a]GK Restart(OS, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,11.490075583453063,"🔹[OSP] Throw-in(L, MZ, CB pattern, on the edge)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,53.24185217887134,"🔹[IP3b]Progression(around L-R, into the 9, not clean)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,28.712480726734952,"🔸[OP3b]Mid Block(RSIde triggers, delays, box unit ok)🚧⚠️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,17.465044911646714,"🔸🔹Offensive transition(deep regain, quick turnover)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.250085336360485,🔸[OP4]Low Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,28.110171297899,"🔸🔹Offensive transition(deep regain, quick turnover, into the 9 after)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,31.760195690875207,"🔸[OP4]Low Block(compact, patient, efficient)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,25.200155449843123,"🔹[IP1b]GK Restart(OS, short, RCB, 10, RB)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.084078432751994,"🔹[OSP] Throw-in(R, MZ, 2nd ball, switch)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,47.2125269714702,"🔹[IP2]Low Build-up(OS, short, through)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.251888494844025,"🔹[IP4]Attacking Phase(RTriangle, set, backpass, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,17.870118578143206,"🔹🔸Defensive transition(CPress, quick regain)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,75.99640510525933,"🔹[IP3b]Progression(around vs MFM triggers, IB, turnover)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,75.10049515060632,"🔸[OP3b]Mid Block(trigger with a midfielder, ARSENAL)⭐️⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,50.490305723369374,"🔸[OP4]Low Block(RTriangle adjustments, box unit ok)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,43.34739402603009,"🔹[IP1b]GK Restart(OS, short then long into the 9 v MFM)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,27.840168531952713,"🔸[OP4]Low Block(RB v LW, LW v RW, can't stop the crosses, box unit solid)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.45013860034419,"🔹[IP1b]GK Restart(OS, long IB, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.03008869082123,"🔸[OP1b]GK Restart(hesitant MFM distribution, backline proactive, off side)✅🔍",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,26.684964533502352,"🔹[OSP] Free kick(deep, blocks? 2nd phase, target back post)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.44432784633682,"🔹[OSP] Throw-in(R, HZ, long, blocks??)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.76013167045471,🔹[IP3a]Progression(cheap deep turnover)❌⚠️,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,38.39731291741191,"🔸[OP4]Low Block(after 2 cheap turnovers, 2 crosses)🧠",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.5,"🔸🔹Offensive transition(deep regain, cheap turnover)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.090128931529307,"🔸[DSP] Corner(L, back post)✅",0,,,,,,,,,,,,,,,,,,Players marked - adjust - crowd 6 to free blockers - nordi blocked,.
260207_Arsenal_Sunderland_ANALYST,0.0,49.72029380606955,"🔸[DSP] Corner(R, front zone, marks/blocks, 2nd phase)✅⚠️",0,,,,,,,,,,,,,,,,,,Timber marked adjusts from blocker - use +1 on gk,.
260207_Arsenal_Sunderland_ANALYST,0.0,22.44261832062989,🔸[OP4]Low Block(adaptive LTriangle post corner)❌⚠️,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.984872519591136,"🔸🔹Offensive transition(deep regain, composure under pressure, IB, YC)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.5,"🔹[OSP] Free kick(L, wide, blocks/targets?)🚧",0,,,,,,,,,,,,,,,,,✅✅,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.00600486854819,"🔹🔸Defensive transition(C-Attack, well managed)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.096217026330123,"🔹[OSP] Throw-in(R, DZ, pattern?)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.490103026423412,"🔸[OP4]Low Block(RSide, 10 men, shot near the post)❌❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.02003627939962,🔹[IP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.53013747705677,"🔹[OSP] Free kick(R, wide, block!!!)🚧🔍",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.650083825843467,"🔸[OP3b]Mid Block(too far from the LW, opportunity to cross)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,47.88879360854207,"🔸[DSP] Corner(R, 2 phases)🚧",0,,,,,,,,,,,,,,,,,,Timber - Jesus marked player wanting to go inside 6-y. block DB & Nordi ,.
260207_Arsenal_Sunderland_ANALYST,0.0,22.121057105418004,"🔹[IP1b]GK Restart(RCB, IB, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,11.810055474773435,"🔹[OSP] Throw-in(R, MZ, backpass)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,37.27029669625699,"🔹[IP2]Low Build-up(long under pressure, opportunity to go short)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,35.95021796979836,"🔸[OP2]High Press(OS, long, adaptive MFM)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,34.29864339562482,"🔹[IP1b]GK Restart(OS, short, spare man)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,29.20025747353202,🔹[IP3b]Progression(LB opportunity to go IB or into the 9)🚧🔍,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,24.150158510604797,"🔹[IP2]Low Build-up(OS, short, soare man, good mobility)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.716290712537102,"🔹🔸Defensive transition(C.-Press, quick regain)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.410159121659945,"🔹[IP2]Low Build-up(OS, long, block)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.734690195327858,"🔹[OSP] Corner(L, back post delivery, inefficient GK block)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,38.09021885774018,"🔸[OP1a]GK Restart(OS, long, adapative MFM, 2nd ball, foul?)✅🔍",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,29.20556853209564,"🔹[IP1b]GK Restart(OS, short, cheap turnover LCB)❌⚠️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,33.34015482862969,"🔸[OP4]Low Block(cheap turnover, shot from outside the box)❌❌🏈",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,28.11580741466696,🔹[OSP] Kick-off❌,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.92012314876183,"🔹🔸Defensive transition(C.-Attack, 9 management??)❌❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,10.740046638325566,"🔹[OSP] Free kick(deep, delivery)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.70768445833346,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,37.05853125655267,"🔹[OSP] Free kick(deep, 2nd phase, shot)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.060108825301086,"🔸[OP1b]GK Restart(quick restqrt, shot near the post)❌❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,13.06006919241372,"🔹[IP1a]GK Restart5HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,8.090052733363791,"🔹[OSP] Throw-in(L, MZ, quick restart)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,42.32498104233309,"🔹[IP2]Low Build-up(OS, short)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,29.00068658399914,"🔹[IP1b]GK Restart(OS, short, around, IB into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.901381625332306,"🔸🔹Offensive transition(mid regain, shot)✅✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,13.980073460490075,"🔹[OSP] Corner(R, 2-man, blocks???)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,26.309650013805367,🔹[OSP] Kick-off✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,13.370086570722833,🔹[IP4]Attacking Phase(pass through intercepted)❌,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,47.950932766791084,"🔸[OP4]Low Block(RTRiangle, cross, 2nd phase, cross)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,14.350067062610833,"🔹[IP1a]GK Restart(OS, long, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,24.866794264875352,"🔹[OSP] Throw-in(L, DZ, pattern, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,69.60935806252382,"🔹[IP4]Attacking Phase(3 phases, crosses, shot)✅✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.065726108317904,"🔸[DSP] Throw-in(L, DZ, flip the pressure, ARSENAL)⭐️⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,35.01683434732786,"🔹[IP2]Low Build-up(OS, long, IB, opportunity)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,26.850135638656866,"🔹[IP2]Low Build-up(oS? long, flick-on)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,27.170159716964918,🔸[OP3b]Mid Block(LTriangle)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,27.682687584318046,🔸🔹Offensive transition(2 quick turnovers after regain)❌,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,21.62004999353212,"🔸[OP4]Low Block(RTriangle, early cross)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,16.44013498595541,"🔹[IP1a]GK Restart(OS, mid-range pass for the FB, turnover)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,31.447463709271688,"🔹[IP2]Low Build-up(OS, short, cheap turnover)❌⚠️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.849909297051454,Game management❌,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.290128932614607,"🔸[DSP] Throw-in(R, HZ, long)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,34.26938967214119,"🔸[OP3b]Mid Block(good triggers, back pass forced)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,56.180317321448456,"🔸[OP2]High Press(OS, long, adaptive MFM)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,28.860181989405646,"🔹[IP3b]Progression(aroiund, into the 9, support, feed the opposite W)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,13.800070106490239,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,12.240061869389137,"🔹[OSP] Throw-in(L, DZ, flip the pressure pattern)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,9.770059129818947,"🔹[OSP] Throw-in(L, DZ, pattern?)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.0,"🔸🔹Offensive transition(deep regain, quick turnover)❌",0,,Arsenal,Contexte,20260207,MT 0,Journée 25,Exterieur,108,120%,+,0/3,100 - 110,CPA DEF,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.400102116620474,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,22.82001949416008,🔸[OP1b]GK Restart(high regain)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,33.970179528061635,"🔹[IP3b]Progression(good start, inaccurate switch)❌",0,,Arsenal,Contexte,20260207,MT 0,Journée 25,Exterieur,108,80%,-,,100 - 110,APlacee,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.640119788254196,"🔸[OP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.49012132511325,"🔹[IP2]Low Build-up(OS, short, through)✅⭐️",0,,Arsenal,Contexte,20260207,MT 0,Journée 25,Exterieur,108,120%,+,0/3,100 - 110,APlacee,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,54.16653014138137,"🔹[IP3b]Progression(IB, then combination through)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.848766403651098,"🔹🔸Defensive transition(stron counter-press, foul)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,90.02636609362526,"🔸[OP4]Low Block(compact, well organised)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.5,🔸🔹Offensive transition(cheap turnover under pressure)❌,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.5,🔹🔸Defensive transition(deep turnover)❌❌🏈,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,20.440119793227495,"🔹[IP3b]Progression(around, into the 9)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,8.890066450527229,"🔸[DSP] Throw-in(MZ, L, ARSENAL)⭐️⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,34.96608814220963,"🔸[OP3b]Mid Block(good triggers, back pass forced)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,26.66048113407396,"🔸[OP2]High Press(OS, mid range pass in behind our LW)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,34.510761875987555,"🔹[IP1b]GK Restart(OS, mid range pass for LB, turnover, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.460102728857237,"🔹[OSP] Free kick(L, wide, target, transition conceded)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.88013442260217,🔸[OP3b]Mid Block(IB)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,38.132659700097975,"🔸[DSP] Corner(R, 2 phases, shot conceded)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,24.030974384164438,"🔹[IP1a]GK Restart(OS, long into the 9, trajectory, 2nd ball, cross)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,25.767494598978374,"🔹[OSP] Throw-in(L, HZ, long, pattern)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,33.50016611015144,"🔸[OP4]Low Block(hard to press, regain IB)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.810092053739936,"🔹[IP1a]GK Restart(OS, spare man, IB to the 9)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,18.490095395518438,"🔸[OP4]Low Block(LTriangle, out of position)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,27.530167959727805,"🔹[IP1b]GK Restart(OS, short, through 2x pivot)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,30.47157031783263,"🔹[IP3b]Progression(around/through closed, into the 9)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,43.96853078560616,"🔹[IP4]Attacking Phase(2 attacks, attacks, effective counter-press, sustained attack)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,15.670077420184498,"🔹[IP2]Low Build-up(OS, long, turnover)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,56.3462984450789,"🔸[OP3b]Mid Block(good triggers, IB)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,44.76026123120755,"🔹[IP2]Low Build-up(around, RB too close to the press)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,44.5007820990113,"🔸[OP4]Low Block(efficient, corner conceded)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,25.09011826456117,"🔸[DSP] Corner(R, GK delivery)✅",0,,,,,,,,,,,,,,,,,❌❌,,.
260207_Arsenal_Sunderland_ANALYST,0.0,13.70008384243647,"🔹[OSP] Throw-in(L, DZ, flip the pressure pattern?)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,41.620176486518176,"🔸[OP3b]Mid Block(good triggers, IB)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.180122226755884,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,23.565258402777545,"🔸[OP2]High Press(OS, short then mid range pass)✅",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,51.43028684417186,"🔹[IP3b]Progression(around, big pitch)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,17.06237167109066,"🔹[OSP] Free kick(R, wide, back post delivery)🚧",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,19.100096019056764,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,29.4701612557119,"🔹[IP2]Low Build-up(through, spare man, around)✅⭐️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,30.3961692955927,"🔹🔸Defensive transition(poor cross delivery, attitudes)❌❌🏈",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,28.94020357645786,"🔹🔸Defensive transition(high turnover, backline exposed, attitudes?)❌⚠️",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,12.54692430151863,"🔹[IP1a]GK Restart(HBlock, 2nd ball, foul)",0,,,,,,,,,,,,,,,,,,,.
260207_Arsenal_Sunderland_ANALYST,0.0,14.950082286952238,🔸[OP3b]Mid Block(long switch IB)❌❌,0,,,,,,,,,,,,,,,,,❌❌,,.